tweet,class
ImToBlame bitch I got a ring now ho I aint fatherless no more ill fight you,Offensive Speech
ImToBlame bitch you opulent as fuck refrain from conversing upon matters of the middle class,Offensive Speech
ImToBlame listen cuntrag whore bitch shit be expensive as fuck man We had to do PR first that one year this year was the wedding so,Offensive Speech
ImToBlame lyin ass bitch GhostwritaMusic ILLWil brunzilla,Offensive Speech
ImToBlame you a fatherless wallet carrying ass video game playing ass negro breh You filth No way you can afford to date a TwitterHoney,Hate Speech
ImTooMuch bread in general aint too good for yabut honky bread the worst128514128514,No Hate and No offensive Speech
ImThirst I love Louis CK Quit bein a faggot and suck that dick,Offensive Speech
ImThirst I was gonna hold my tongue until I could get into another team but I couldnt do it anymore theyre fuckin retarded,Offensive Speech
ImThirst Shins a faggot Im glad your chipped him,Offensive Speech
ImThirst randies are fags,Hate Speech
ImaAsshole ImTooMuch MyAssHoleSoWet So you gon call me a nigger because of that Fuck wrong with you,Offensive Speech
ImpactParasite just fuckin roasted this faggot,Hate Speech
InEyeAleE Son We the sammich family out this bitch She KNOW Joey love sammiches,Offensive Speech
InEyeAleE shit aint gon be funny when you need me to get you outta a horrific car crash bitch,Offensive Speech
InEyeAleE youre filled with pimps and hoes Well just talk about those I knows JosephBananas,Offensive Speech
InFaMouSStAcKz hell no cause Brad still walked away like  yeah i fucked that niggas bitch  128514,Offensive Speech
InTheOvenJews SlaveCatcher88 marylene58 we should hang out ovenjew Have a lot in common People waste time on nigs Jews r r problem,Hate Speech
IndicaMangoes they still fucking trash I cant eat those to save my life,Offensive Speech
InedibleFood Quickscoping trash TAKE OF THE TONY HAWK SETUP AND PLAY NORMALLY THATS NOT WHAT SNIPERS ARE FOR,No Hate and No offensive Speech
InfidelAlie that should read suck on my bacon encrusted middle finger Muslim twats,Hate Speech
InfidelAlie touch233 muzzie fuckers hope it was set to go full of bacon and pork rinds,Offensive Speech
InkedupTiny  still shouldve walked over and said something pussy,Offensive Speech
InnerSlutty I got u bitch,Offensive Speech
InsanityLady I argue that Cersei is neither evil nor a bitch Shes greedy desperate to protect her children and to be valued in a world,Offensive Speech
IntentionalTalk Half jar of marmalade shaved monkey saran wrap mini horse Give your best scene askkevin,No Hate and No offensive Speech
IsaidNick aknadnrye give me credit lil bitch,Offensive Speech
IshMallyMal JayJuice22 all trash to me,No Hate and No offensive Speech
IshMallyMal August is trash,No Hate and No offensive Speech
IssaGOLD my fuckin back still hurts but it was worth it And Im still mad about the hoe incident Haha httptcoeAnDLKSbpM,Offensive Speech
IssaGOLD u think that dream has anything to do with those two dumb bitches in San Diego lol,Offensive Speech
ItalianMontana CarterBoyleake ant is a pussy man dont make me pull up the pic,Offensive Speech
ItalianMontana im a boss ass bitch,Offensive Speech
ItsJusMeJoJo lol youve tweeted bitch an excessive amount for you today you ok,Offensive Speech
ItsKeeshKapeesh yourself faggot buy a dictionary,Hate Speech
ItsKiaraaaa looks like you took a red marker and colored on your leg,No Hate and No offensive Speech
ItsLenDaddy thanks bruh dont ever forget we still on the look out for these faggots  JustCurrieOn,Offensive Speech
ItsLexisHope Sounds like there are some major bitches in your area,Offensive Speech
"ItsMander
Is you sure you aint colored",Offensive Speech
"ItsMander 
AIDS aint all dat bad You can become da hoe and do da crack and aint gonna make no difference anyhow",Offensive Speech
"ItsMander 
You tryin to say ofay",No Hate and No offensive Speech
"ItsMander kfc
You can always gets da colored folk back in da cage wit da KFC",Hate Speech
ItsMeGrizz dink now uknow thats not true,No Hate and No offensive Speech
ItsMeKevin10 josie618 ThatSlutAdrian ZaidSaracini papigabs lmao this nigguh,Offensive Speech
ItsNotHarold Ill try tomorrow RT Harold Gonna try and eliminate the word bitch out of my vocabulary I need to start bettering myself,Offensive Speech
ItsOnlyJess LukeFriendyy JCATSRULE shes a right twat Id tell you honestly Sky Honestly 128520127829,Offensive Speech
ItsYOURman make me white trash cousin fucker,Offensive Speech
ItsYOURman nothin much cousin touching white trash wigger wannabe bitch boy dick sucking fucking gay bitch,Hate Speech
ItsYOURman you a fucking wigger so stfu,Offensive Speech
ItsmeKyleWayne Yeaa black bitches actin like they too good for an average nigga like they just got A1 credit and pussy,Offensive Speech
IvanJReyes um no that only a fuck you bitch and done xavier will hopefully respect girls bc I am doing it alone and I dont want that,Offensive Speech
IvetteBrianna I never said you was a hoe guilty consents ass girl,Offensive Speech
IvetteBrianna fag,Offensive Speech
IvetteBrianna you better feel the love I dont even show these hoes love lol,Offensive Speech
IzThatxp xDSmooth lmao denote got a bitch here right now but he love her,Offensive Speech
JAYREIDOFFICIAL I want it to be somewhat of a collage  Money jewels cartiers etc  Jus little shit to let niccas know we still here,Offensive Speech
JAYREIDOFFICIAL a nicca anxious to hear that shit my g,Offensive Speech
JAYREIDOFFICIAL my nicca,Offensive Speech
JBilinovich JZolly23 cmnw86 You guys wanna skull Fuck some clay birds this weeknd,Offensive Speech
JGardenofEden KySportsRadio ryanlemond Butcountry music listeners really are hicks and alcoholics 128514128514,Hate Speech
JHafe big booty hoes,Offensive Speech
JHannahhh oh you mean Noah zimmermans cute ass 128525 I mean he should he talks to his hoes all day everyday  amp his girl Courtney 128514128564 sooo,Offensive Speech
JLlVE looks prime for some trash pick up,No Hate and No offensive Speech
JMC2488 jetsgreen TB12FAN and fuck you too ya little bitch you look like a Mexican sucking a cock in ur profile,Hate Speech
JMuggaaa 128527128553leezy got all the bitches,Offensive Speech
JNunchuckfuck u can just ask him to suck his dick not that hard white trash,Offensive Speech
JOLTNG niger,Hate Speech
JPERZELL shit pic master hoe protecting ass bow tie nigga,Offensive Speech
JPantsdotcom ToddKincannon therealtony Im partial faggothomoboth fairly describes the same sick twisted Assholes out there,Hate Speech
JPantsdotcom ToddKincannon therealtony naaaaa just popped across my TL so I commented But nice try faggot,Offensive Speech
JPerez003 teabaggers are anti American Hows it feel to hate your country,Offensive Speech
JRealmo I dont think they believe in their communities ability to function wout whitey They choose to be hustled by big govt,No Hate and No offensive Speech
JRise88 GAnderson4 what do you want fag,Hate Speech
JRise88 LongLiveTylerD your a fag,Hate Speech
JRise88 do it then pussy,Offensive Speech
JRise88 ill fuck you til you love me faggot,Offensive Speech
JRise88 shut up you stupid bitch,Hate Speech
JStac825 ThatAngryNigga at least after nearly two decades of complete trash they put out ATYSYC to redeem themselves,Offensive Speech
JStac825 ThatAngryNigga these niggas must be deaf Whens the last time you heard a Roots song on the radio Quest dont get bitches,Offensive Speech
JStarrTweets I took it harder when Rivera retired Im not a Yankee fan but I have a lot of love and respect for em Especially the core 4,No Hate and No offensive Speech
JStarrTweets my pops is from New York My family is Yankee obsessed My sister literally cried when she heard he was gonna,No Hate and No offensive Speech
JStarrTweets yeah wizards Agent zero bitches,Offensive Speech
JTCameron92 or your in the ghetto,No Hate and No offensive Speech
JTrevorHowerton HollyRFisher because its hilarious how it makes teabaggers freak out Ill do it again too,Offensive Speech
JUSTLOVENOHATE MeNOindirect whole hoe outchea,Offensive Speech
JUSxDOiT I was hangin on them corners late Pockets wasnt straight bitch I aint gon make it at this rate dawg Know what Im sayin,Offensive Speech
JVP731 keselowski mattkenseth I would have loved to watch Newman bitch slap Johnson Id pay to see that,Offensive Speech
JZolly23 HannahKubiak Everybody knows that bitches love mullets Pantiedropin,Offensive Speech
JZolly23 JBilinovich we need to grow mullets together so we can get all the bitches and HannahKubiak can hate on us,Offensive Speech
JZolly23 also is search of dirty white trash hookers for the weekends,Offensive Speech
JDun54 awww shit lol I want my money too bitch Who else I give one tO,Offensive Speech
JDun54 oh you little bitch you You tryna hit the fair tho today or sometime this week Shit might be fun drunk,Offensive Speech
JFritzy vivaalakatyy Lompartayy brotherbill7 JHuff5 bitch better back up Katys mine,Offensive Speech
JKwest No Cpt Commando is a hoe and a cocksucker,Offensive Speech
JKwest when a bitch look his way httptcoVkdkoEKLxZ,Offensive Speech
JLogan And you know best about the bird moves,No Hate and No offensive Speech
JNastyy BumFarto why would a white man even go to a nigger hell hole of Detroit An Ive worked in A town how Yall good niggers,Offensive Speech
JFH Happy Another Group of 365 Days you weird ass son of a bitch Thats why we all love you though Hoping there are riots in Htown,Offensive Speech
JacobRyanBruhn Kiss these nuts bitch,Offensive Speech
JacobbBacker fucktyler Tyler isnt shit faggot go listen to some real music,Offensive Speech
JacobbBacker fag,Hate Speech
JacobbBacker faggot,Offensive Speech
JacobbBacker you dont know shit about me faggot bitch,Hate Speech
JacsonBevens markkiszla absolutely retarded article httptco3hSVTYOXFf,Offensive Speech
JadeGreenleaf DailySexSupply am i really a fag if Im liking that video,Offensive Speech
JadeGreenleaf fag,Hate Speech
JaiBrooks1 faggot,Hate Speech
JaiBrooks1 not funny u faggot,Hate Speech
JaiBrooks1 ugly goldigging cunt u probably have an uncircumcised penis faggot,Offensive Speech
JaiBrooks1 ur brother looks so queer and ugly,Hate Speech
JalenDGAF CourtniClark 128308989965039128308989965039128308989965039 no pressure hoe,Offensive Speech
Jalenhendricks4 hoes saying eyebrows on fleek  Search it on twitter,Offensive Speech
JamesOKeefeIII jdhayworth James nobody save a couple illiterate inbred teabagger morons gives a flying fuck about your revelations,Offensive Speech
JamesdaJewison ltltBEST NAME ON TWITTER EVER AKA JewbaccaltltSECOND BEST NAME ON TWITTER,No Hate and No offensive Speech
JamesyNBA damn your bitch really hoen for the F,Offensive Speech
JamieWinn4 thats energy the City is Electric gotta go to Yankees Stadium When they are winning It is truly electrifying,No Hate and No offensive Speech
JaneyPew nigger you are bigger than I am Do you even R4aperSec ,Offensive Speech
JarJarBanks momma didnt raise no sukka bitch,Offensive Speech
JaredReve use monkey maker you prick,Offensive Speech
JasonAstley I hate that shit Like bitch dont ask me for shit makin me waste my time and your dumb ass aint even using it,Offensive Speech
JasonMoriarty13 I remember his nephew Lucas crying and dan saying quit being such a pussy and grow a pair or something 128514128557 dans so funny,Hate Speech
JavelinaBlue mdjacksondallas KennettDems yep Texas is redneck heaven,Offensive Speech
JavieTheCreator itsselenaaaa haha yuhh that hoe was funny,Offensive Speech
JavieTheCreator stank ass hoes haha,Offensive Speech
JawShoeeAhhh bitch,Offensive Speech
JawShoeeAhhh FabianMleal fuck you bitch lol,Offensive Speech
JawShoeeAhhh FabianMleal shut up bitch,Offensive Speech
JawShoeeAhhh FabianMleal suck a dick hoe,Offensive Speech
JawShoeeAhhh greyyygoose jehnayy youre gay bitch,Offensive Speech
JawShoeeAhhh jehnayy no bitch lol,Offensive Speech
JawShoeeAhhh josecarcamo03 lmao youre on my timeline it aint spying hoe lol,Offensive Speech
JawShoeeAhhh keepitplur bitch you beat after losing twice lol and we won 11 you just a hater,Offensive Speech
JawShoeeAhhh bitch answer me lol,Offensive Speech
JawShoeeAhhh bitch you cant even say no lol,Offensive Speech
JawShoeeAhhh lmao youre a bitch boy,Offensive Speech
JawShoeeAhhh lol thanks bitch hahah Vegas aint ready for us lol,Offensive Speech
JawShoeeAhhh shut up bitch,Offensive Speech
JawShoeeAhhh that dont mean youre not balling lol shut up hoe lol,Offensive Speech
JawShoeeAhhh that means youre balling if youre Jewish lol I dont love hoes lol,Offensive Speech
JawShoeeAhhh youre a bitch lol,Offensive Speech
JayJuice22 IshMallyMal no song Ive heard was good is what I mean by hes trash,No Hate and No offensive Speech
JayKollsKSTP please tell those fuming cops that they are a bunch of coward little bitches and should not be allowed near weapons Thanks,Offensive Speech
Jaydillz theyre both big bitches tho lol,Offensive Speech
Jaytwofly GMUCKA good leave you stupid faggot,Hate Speech
Jaytwofly huh lol mad nigger is mad,Hate Speech
JayyRosayy you aint got no hoes lil jess youre a lil guy,Offensive Speech
Jazwau 128528 who did you rob them hoes like 4 online,Offensive Speech
Jbrendaro30 ZGabrail ramsin1995 GabeEli8 Jacob2times bitch ass nigggaaa,Offensive Speech
JedZiggler I say it all the time same with fag and queer its all about the context I suppose some people are just looking to get offended,Offensive Speech
JefDaBest The fact this bird ass nigga took my phone and did a light skin pose in school Mrste617 smh lol httptcoZd3vctXGXh,Offensive Speech
JeffBlogwell time to call hoes,Offensive Speech
JennaHord12 Feels like its been a year since I seen ya queer lolol,Offensive Speech
JennaHord12 Nooo Ambers supposed to kill me fag,Offensive Speech
JennyJohnsonHi5 Did you say spray tan Charlie Crist switches back to Republican,No Hate and No offensive Speech
JennyMcCarthy dont let idiots that cant even spell retarded get you down,Offensive Speech
JennyReyes42 iamadamg awwe i love you too jenny Your so damn perf amp NOT ugly Seriously dis bitch must be blind,Offensive Speech
JennyTripleTit its also a bird a city and a math theorem I make no assumptions,No Hate and No offensive Speech
JerGucci I can trap anywhere I wanna just because I aint a bitch n in rarely solo,Offensive Speech
JerGucci go on Craigslist bitches be on there 128514128514,Offensive Speech
JerGucci my luck the bitch gonna drug me an I wont even kno what happened lmao,Offensive Speech
JerGucci she can suck dick tho thats better than brownies,Offensive Speech
JerGucci ur avi prolly shoot dust out your phone cuz that shit so old u cat fishing the bitches on here lmao,Offensive Speech
JeremyAdams youre a bitch,Offensive Speech
JermsAllOver I cant be homeless in 2014 but them bitches better not slip in 2015,Offensive Speech
JesseAbrego bitch I might be,Offensive Speech
JessycaaRubi OShitItsLaura Bitch you just an inch taller than me 128079128079 amp we normal height Jessyca and Daysi are just some short bitches 128514,Offensive Speech
JewelsAndDrugs9 ladygaga madonna lmao madonnas music sucks yeah youre fucking stupid if you think gaga is better retard,Hate Speech
"JfromHuntington Savages 
Day is like coloreds dat wrap day hoes like mummies",Offensive Speech
"JfromHuntington thatUPSdude lt
I hates to interject but cans I have yo digits I likes wiggers dat wanna be fucked by coloreds",Offensive Speech
JimBoberson happy birthday faggot,Hate Speech
JimNastikowski 3Quarters2Day  Are you a race traitor or just a dumbass,Offensive Speech
JimNorton Hey Jim youll love this httpwwwwwtddcom201005gaboureysidibeisacompletebitch,Offensive Speech
"JimmyMcIver jerrilyn71 Doc68W Just like FAT CHICKS NEED LOVE TOO I guess 
Some Jeffrey Dommer Type would be all over that sloppy ho",Offensive Speech
"JizzAtTheScene and how am I assume shit 
hmm cuz u dont know what fuck u talking about crackers these days",Hate Speech
JjLoveUp tranny,No Hate and No offensive Speech
Joclark6 breezysofresh24 no homo bro love ya to Lets get some 151 an some Malibu rum Tech 9 this bitch haha,Offensive Speech
Joclark6 pache16 PcktSizeCae an just dont be a hoe about it Haha,Offensive Speech
"JoanRivers Bitch you old ass mushroom ass bitch looking like a moldy ass toe wobbly raggedy ass vagina face BYE

httptcoLTi96AZjwk",Offensive Speech
Jobbe03 PandaEnchilada Youre such a bitch Carlton Youre lucky your fathers a judge,Offensive Speech
Jobbe03 You need to insert a chill pill up your ass Twice a day until your bitch assness goes away If the problem persists see a doctor,Offensive Speech
JoeBiden is such a retard 8220irritatedwoman Biden Calls Himself 8216White Boy8217 in Meeting With Black Pastors httptcobqx1IEv0wD8221,Offensive Speech
JoeDouglas1 I guess blaspheme to your Allah is ok if your pos muzzie huh JewJitsuGrl efilnikcufecin7 Darknight420,Hate Speech
JoeDouglas1 sit down and stfu raghead Darknight420 hajihuntingpat,Hate Speech
JoePrich shut up faggot,Offensive Speech
JoeTheMailman emilyrs But that bitch could care less about Benghazi victims,Offensive Speech
JoeSchmucc Dog Government jobs is the SHIT I done got my last few off that bitch,Offensive Speech
JoeyD26 sweet comeback u fuckin herb I dnt watch soccer but id still wax your bitch ass in it go swallow the red soxs kids ur from NYC fag,Hate Speech
JoeyD26 youre such a pussy,Offensive Speech
JohnColeGlover is big cat a fat pussy joke,Offensive Speech
JohnFaheyIII go eat bear shit you fuckin yokel,Offensive Speech
JohnMayer69 BigggMackkk dont talk to your hoe that way,Offensive Speech
JohnnnyAmor lol wyo bitch,Offensive Speech
Johnny3 HPGuilty trash aint it,No Hate and No offensive Speech
JonJ07 like their players really been talking trash about Bama,No Hate and No offensive Speech
JonJanke Deadspin jtrimbl3 You sound like youre pussy whooped freelikeabird,Offensive Speech
JonJanke jtrimbl3 Youre a sensitive pussy whooped no sense of humor neo zoom maxi dweeb Now sit your ass all the way down,Offensive Speech
JonahNRO No good options left indeed This president makes Jimmy Carter look like a piker So sad,No Hate and No offensive Speech
JonnVercetti true but then again Im my opinion a hoe is someone who goes and sleeps with everybody,Offensive Speech
JonnieSantana Hes definitely trash But if Bill Cohwer or Stanford s head coach want the job Id hire them With a new gm of course,No Hate and No offensive Speech
Jontel20 128557 pussy,Offensive Speech
JoriBunni he talkin bout we wanna be human and Im just like  bitch whet,Offensive Speech
JoseRvmirez Im a lil nigga Wait till you see nigga You aint ready Im from Chicago boy I aint no pussy from the burbs Just wait,Offensive Speech
JosesitoRiveraa fuck no faggot,Offensive Speech
JoshWard thuggery Cheating Talking trash Whos doing that besides Jameis And isnt ND in the middle of cheating issues,No Hate and No offensive Speech
Jpizzle651 I didnt really have one was aware of Yankees but always loved Dodgers uniform,No Hate and No offensive Speech
"JuMosq zachkruse2 Yep sobs

I got my hopes up when a couple of the national guys including that KiperMcShay mock had him slipping",No Hate and No offensive Speech
JuanDaMeskin you wouldnt last a day there hoe,Offensive Speech
"JuanNDaCut ShareA40Ounce she playin pussy hole bingo
She drawing the next number",Offensive Speech
JuanYeeze damn took this dumb spic nearly 2 days to respond wuz really good tho beaner,Hate Speech
JuanYeeze shut yo beaner ass up spic and hop your faggot ass back across the border little nigga go listen to some pitbull,Hate Speech
JudgmentalNYer eveisapisces it always looks so nice I was gonna buy this yellow one,No Hate and No offensive Speech
JuiceManLTF shut up pussy,Offensive Speech
Juice2 faggot,Offensive Speech
Juice2 i know bout yo wack ass dreads nigger,Offensive Speech
Juice2 nah youre a nigger,Offensive Speech
JuiciStrawberry Kik is for hoesYou either gone shit or get off the pot,Offensive Speech
Juicyjames01 aint no love 4 these hoes,Offensive Speech
JukeJuke9 shit he prolly is other than that everybody else trash,Offensive Speech
JulesDanesy Cowboys fans are cunts Stop the presses,Offensive Speech
JuliaDBrock Are we still talking about animals I know some Asian folks that would love to see how you prepare your pussy before eating it,Offensive Speech
JuliaDBrock Im not a bitch Take it back,Offensive Speech
Julianjval I totally think the something when bitches come across mine saying we are similar Uh no 9995,Offensive Speech
JulietMunguia bitch merry Christmas,Offensive Speech
JunDishes amen little mama y does this old southern country bitch like you so much I dont know but I do,Offensive Speech
JunDishes block or mute the cunt,Offensive Speech
JunDishes elissa would call me trash vile etc,No Hate and No offensive Speech
JunDishes get a can of WASP SPRAY it shoots out 20 feet and cheaper than bear spay or mace works just as good,No Hate and No offensive Speech
JunDishes or a southern bitch like me who will blow a persons heart out of their back wone shot,Offensive Speech
JunDishes thank god Im just an  old redneck bitch from Memphis Tn And not a troll,Offensive Speech
JungleFeverFren fuck u nigger,Hate Speech
JuniorMaye8 jus exsposin hoes on a whole different level 128557128514,Offensive Speech
JusDahl I want someIm so damn tired of being in the fucking kitchen a bitch is hot and needs a glass of wine and a back rub,Offensive Speech
JusDahl bitch wake up,Offensive Speech
JusDahl gross ill stick with my galaxy it will still receive those nips,Offensive Speech
JusDahl not nappy head hoe though 128514128514,Offensive Speech
JussVinny kkarleigh if he wants bitches tip toein on his marble floors he will 128521,Offensive Speech
JustCurrieOn Christooshifty aint nobody asked yo faggot ass for a comment i know you peeped already you gay thats what u do for a living,Offensive Speech
JustDoItSlow 128530FOREVER 21 hoes,No Hate and No offensive Speech
JustDoItSlow on sale ass hoes,Offensive Speech
JustDoItRob big titty bitch lmao fuck it good party,Offensive Speech
"JustFemaIe CheatingAdvice 
Where the fuck were you this summer bitch",Offensive Speech
JustKarahn bye hoe,Offensive Speech
JustKarahn dnt use my shit against me hoe,Offensive Speech
JustKarahn negro please,Offensive Speech
JustKarahn yes u hoe,Offensive Speech
JustTooMuchCake Lmao it bel ike that nowadays,No Hate and No offensive Speech
JustWordsx dont favorite me you faggot,Offensive Speech
"Justthistime we need more opinionated bitches

MOAR",Offensive Speech
JustinBaez shut the fuck up faggot ass Knicks cock sucker your opinion is irrelevant fag,Offensive Speech
Jwreich142 SteveWorks4You teabaggers are extremely dumb,Offensive Speech
KASSIGOD drinking away this stress you got some new hoes for us,Offensive Speech
KCJHoop pretty sure you meant flight and not flite dumb ass cracker,Offensive Speech
KEIRRANicolee I didnt know you was following me hoe 128514,Offensive Speech
KHShan VictorB123 Oh but those last few that did Charlie Wilma Jeanne,No Hate and No offensive Speech
KILLDion hchristianne politics isnt twitter coon lol,Offensive Speech
KILLQuana choke on something hoe,Offensive Speech
KILLQuana lmao cunt,Offensive Speech
KINGDOMMINDED lostb0y fuck off my pussy boi bitch,Offensive Speech
KINGDOMMINDED lostb0y me bitch im tryna keep a clean track record the fuck bruh,Offensive Speech
KINSL3Y we dont love these hoes,Offensive Speech
KLSouth MissDidi23 is an evil hate whitey racist who thinks Delbert Belton deserved it MaryForbes14 EnemiesofDonnaJ StephAnnAnson,Hate Speech
KR3TZ3R15 Idk is shes actually from there lol we followed a band But we met a few bainbridgians This bitch had like 4 teeth I swear lol,Offensive Speech
KforKicKs 128514128514128514128514 im joked out bitch you stupid,Offensive Speech
KforKicKs likkadawgg turn up ya bitchfw ya dawg man,Offensive Speech
KforKicKs tf bitch you had brain surgery and aint tell me,Offensive Speech
Kaaaat make that llama your bitch,Offensive Speech
Kaayyllee bitch 128530,Offensive Speech
KaileenRenee lets get a group together amp do something negro Im home,Offensive Speech
KamRenee ugly nigger,Hate Speech
KamalShaqi Kevinnnnn05 its funny how this page quoted my tweet about the term camel jockey bc I AM a fucking Arab you dumbass 128529,Offensive Speech
KassieHamilton AnnELizabeth erinlehrer thanks kass I respect you Not you Annie youre a bitch,Offensive Speech
"KateWhineHall I starting laughing worked outnot bc I think its funny that you work
throws phone in trash over butchered subtweet",No Hate and No offensive Speech
KatieFraaancis bitch nigga,Offensive Speech
Katiebentel ily hoe cheer up pretti,Offensive Speech
Katieloukarl lol tell that hoe grow up ahaha,Offensive Speech
KayFLiii fuck bitches,Offensive Speech
KayciMalynn I know nigs,Offensive Speech
KayciMalynn yo bitch I miss you too,Offensive Speech
KaylahPrettyMom lmao girlllaaaa I dont like em chunky anymore128514128514128514128514128567,No Hate and No offensive Speech
KazAtta thesaidabdi dont get it twisted said aint playin ny state of mind when bitches is around clicks link,Offensive Speech
KazAtta I woulda jus told skylar one night hey I got a flight in the morninyou wit it or nah while textin my brazilian bitch,Offensive Speech
KazAtta LOL this is why u my nig,Offensive Speech
KazAtta he jus need to go to brazil get himself a bad brazilian bitch and jus relax,Offensive Speech
KazAtta if yo girl let them in she a hoeshe belong to the world why u cuffing her,Offensive Speech
KazAtta why is he stressin himself this nig can be livin lik meech before he went to prison,Offensive Speech
KazAtta your welcome my nig salute,Offensive Speech
KebinBlodgett bitch your yuck,Offensive Speech
KeebitHalal LogansWarning gotta love it when the islamofascist cow tries to make a retort about age typical muzzie idiocy,Hate Speech
KeenoKlutch im on that hoe now,Offensive Speech
KeimHefner lmaooo hell naw nigga you must was playing school of blind and cripple,Offensive Speech
KeithOlbermann I feel the same way about the bigotry and racism of using the word redskins,No Hate and No offensive Speech
KeiveeB shut up bitch it ainn complete witout Money Melle n it,Offensive Speech
KeiveeB yellow shirt hat turnt to da side,No Hate and No offensive Speech
KellenDaniel along with the French blue and Buggs bunny VIIs and the Oreo IVs LaJethroJenkins,No Hate and No offensive Speech
Kellinquinn please acknowledge my existence you amazing son of a bitch,Offensive Speech
KellyOsbourne do u still have ur blk pom,No Hate and No offensive Speech
KelseyHison JODYHiGHROLLER see bitch this is why you have no friends,Offensive Speech
Kelseyyvirginia caylanashlee look here bitch if i wanted to be gramatically correct i would have,Offensive Speech
Kelseyyvirginia im talking about the pucture of the pussy cat you nit twit,Offensive Speech
KenSuttling LesleySuttling Him as well They like their fried chickenesp the spear chuckers,Offensive Speech
KenSuttling amhistorymuseum Yankees He now resides on the Mantle piece,No Hate and No offensive Speech
KenSuttling Certainlt not the paddies,No Hate and No offensive Speech
KenSuttling Man City and the Yankees have got together to form the 20th MLS clubThey begin playing in 2015,No Hate and No offensive Speech
KenSuttling MrCoxthe Chase me Charlie of his dayBend over boywhile I conjugate your Ae,Offensive Speech
KenSuttling Not taking Franks advice and he ate the yellow snow,No Hate and No offensive Speech
KenSuttling That twat Barry HearneIt would seem to be all about there was no option for teams to share the venue,Offensive Speech
KenSuttling The spear chuckers are flooding into Upton Park,No Hate and No offensive Speech
KenSuttling Yankees beat then in the Grapefruit league the other day,No Hate and No offensive Speech
KenSuttling Yankees playing tonight in the Bronx3rd game of the current series against the diamondbacks,No Hate and No offensive Speech
KenSuttling You rememberit used to be funny coloured paper,No Hate and No offensive Speech
KenGTH nahh  whatever you are spook or spic I still dont like you  Good day,Hate Speech
Kendracae bitches aint shit but hoes with tricks,Offensive Speech
KennyWright KushBoy420 yoPapichulo do it i fucking dare you faggot,Offensive Speech
KennyWright itsfrankybitch AmberNicole21 KushBoy420 yoPapichulo you cant call someone a fag if youre snuggling up with guys,Offensive Speech
KennyWright itsfrankybitch yoPapichulo so if your 17 and in high school you dont have your own house you fucking faggot,Hate Speech
KennyWright sincerelyayla faggot,Offensive Speech
KennyWright yoPapichulo KushBoy420 the stupidest bitch brb crying he called me stupid,Offensive Speech
KenoBino Ohh Mr Im all tough cause I live in a retarded city thinks hes cool People like you should be shoveling my snow broke bum,Offensive Speech
Kevhoeee916 apply to thunder valley bitch,Offensive Speech
KevinEdwardsJr look here Im a thirsty ass bummy ass bitch ass 17 year old niqqa amp I jus wanted to know if I can get a follow back please,Offensive Speech
KevinKevmooney LEllerbe when bet now i make sure that bitch is not involved thats 1 thing floyd and pac can agree on she screwed em both,Offensive Speech
KevinMarin27 I like him but I really doubt he even plays We already got a lot in the big man rotation committed to Bosh bird mcbob amp shawne,No Hate and No offensive Speech
KevinTheGee finished the essay and the quiz bitch,Offensive Speech
KevinTheGee ok I just wanted to know bitch at 520 if youre not here Im out,Offensive Speech
KevinMcAdams Because Ians retarded,Hate Speech
KeyshawnSwag lol nigga them look like a combo of trash in your house amp trash at the dump,Offensive Speech
KeyshawnSwag on god niggaa be tryna say aids been out longer and shit like no bitch Ebola been out here 128514,Offensive Speech
KeyshawnSwag the bad bitch with them ugly ass nikes,Offensive Speech
KiKiThatSeven Lol Im not you just cant be sad about things you cant control But when you walk that stage my nigglet Ill be happy ,Offensive Speech
KiaraSmallzz lmaoo 128514128149I think I want this bitch YA me tiene cansada but thanks 128536wait hold up  Who u fighting 128563,Offensive Speech
KilaurenK u stupid fuk head bitch,Offensive Speech
KimW16 and the plastic surgery of a tranny,Offensive Speech
KimW16 quit being a baby  hit that patchouli pussy,Offensive Speech
KimW16 so shes retarded,Offensive Speech
KimberlyyAye Leslieeeixta I think I did my job here Toodles to you bitches 999665039,Offensive Speech
KimberlyyAye speaking of little bitch you didnt even do all your squats you little bitch kept talking to distract everyone else 128530 128587128064128073128590 icu,Offensive Speech
KingCuh TEEJONEZ io lol osi tangi Haha a tuku ho tangible Terryn Atunga ho fie lea lahi mai,No Hate and No offensive Speech
KingEgo if I can get this bitch to go gtgt WisdomStature,Offensive Speech
KingHorseDick bitch you know the lingo hoe lol,Offensive Speech
KingHorseDick lol toughen up pussy,Offensive Speech
KingHorseDick that hoe skilled,Offensive Speech
KingHorseDick we gotta find this hoe,Offensive Speech
KingHov1313 Pr3ttyN33 song trash,No Hate and No offensive Speech
KingHov1313 boi stop Aint no hoes in the 11th wardnever have been either thats why nobody knew where our hood wasaint no hoes,Offensive Speech
KingHov1313 i got a dyke wit a child as whse mgr and she jus hired another girlboy dis week,Hate Speech
KingJames is such a hoe  Wear your shoes ya big bitch you missed the couch shot Ray Allen bailed you out pussy,Offensive Speech
KingLiibax r u a faggot,Offensive Speech
KingLister10 SweetLoveeee ItsCheese that shit chunky lol,Offensive Speech
KingLuger carne asada Gallo pinto tajadas verde queso frito and a salad With milca,No Hate and No offensive Speech
